timestamp,cpu_usage,ram_usage,disk_io,network_latency,request_rate,anomaly_label,anomaly_score,predicted
2024-01-01 00:00:00,38.97,48.25,29.64,63.29,198.68,0,-0.11140243179030918,0
2024-01-01 00:00:10,33.89,53.55,39.63,70.54,179.85,0,-0.13126456436256673,0
2024-01-01 00:00:20,40.18,47.08,40.22,65.87,193.11,0,-0.12025654832916138,0
2024-01-01 00:00:30,47.18,51.92,45.67,71.78,228.59,0,-0.0946494786925553,0
2024-01-01 00:00:40,33.13,36.06,23.6,76.79,251.11,0,-0.04981518419724079,0
2024-01-01 00:00:50,33.13,57.13,47.11,92.56,222.82,0,-0.12181847516399258,0
2024-01-01 00:01:00,47.63,55.01,7.55,75.18,204.07,0,-0.01463095537514092,0
2024-01-01 00:01:10,41.14,46.83,32.44,56.22,259.92,0,-0.05254122142359369,0
2024-01-01 00:01:20,31.24,61.59,34.14,97.1,187.49,0,-0.10900954061900714,0
2024-01-01 00:01:30,39.34,64.38,47.6,67.44,241.24,0,-0.10245512688236741,0
2024-01-01 00:01:40,31.29,38.92,40.27,79.12,188.48,0,-0.10954647799012529,0
2024-01-01 00:01:50,31.27,47.37,23.13,86.7,217.24,0,-0.10317100827643783,0
2024-01-01 00:02:00,36.94,47.31,28.18,82.99,195.46,0,-0.12219785817781226,0
2024-01-01 00:02:10,19.69,45.6,42.38,96.41,197.77,0,-0.059929808426462006,0
2024-01-01 00:02:20,21.2,63.29,39.05,87.19,184.9,0,-0.08329403842717759,0
2024-01-01 00:02:30,30.5,53.06,33.05,67.08,253.79,0,-0.09399497113855354,0
2024-01-01 00:02:40,26.9,52.35,34.23,112.68,170.68,0,-0.04531164659567477,0
2024-01-01 00:02:50,37.51,34.96,48.35,82.92,170.39,0,-0.07826930957482309,0
2024-01-01 00:03:00,27.74,61.35,33.79,77.79,284.84,0,-0.0318628174064291,0
2024-01-01 00:03:10,23.7,42.61,38.94,94.46,239.11,0,-0.06862512598528597,0
2024-01-01 00:03:20,46.73,55.6,66.04,83.74,104.6,0,0.052976183050546855,1
2024-01-01 00:03:30,33.19,57.77,22.92,85.99,177.39,0,-0.11174481963856087,0
2024-01-01 00:03:40,35.54,68.61,17.78,117.38,127.52,0,0.047133113463358134,1
2024-01-01 00:03:50,23.6,41.91,49.4,75.87,161.97,0,-0.06543622960619477,0
2024-01-01 00:04:00,30.64,24.8,31.86,75.23,74.46,0,0.0445082761078992,1
2024-01-01 00:04:10,35.89,56.84,36.18,81.75,194.52,0,-0.13460890105703371,0
2024-01-01 00:04:20,25.79,73.01,30.63,96.07,154.32,0,-0.028089657895590925,0
2024-01-01 00:04:30,38.01,67.39,36.88,57.4,202.4,0,-0.08712527830376221,0
2024-01-01 00:04:40,30.19,57.1,59.18,50.52,135.0,0,-0.0033952996661114065,0
